designator,part,value,device,supplier
BOOT,TS-1088-AR02016,,ts-1088-ar02016,C720477
C1,CL31A226KAHNNNE,22uF,cl31a226kahnnne,C12891
C2,CL10A105KB8NNNC,1uF,cl10a105kb8nnnc,C15849
C3,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C4,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C7,CL10A105KB8NNNC,1uF,cl10a105kb8nnnc,C15849
C8,CL10A105KB8NNNC,1uF,cl10a105kb8nnnc,C15849
C9,CL31A106KBHNNNE,10uF,cl31a106kbhnnne,C13585
C10,CL31A226KAHNNNE,22uF,cl31a226kahnnne,C12891
C11,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C12,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C13,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C14,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C15,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C16,CL31A226KAHNNNE,22uF,cl31a226kahnnne,C12891
C17,CL31A106KBHNNNE,10uF,cl31a106kbhnnne,C13585
C20,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C28,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
C29,CC0603KRX7R9BB104,100nF,cc0603krx7r9bb104,C14663
CN1,B2PS-VH(LF)(SN),,b2ps-vh(lf)(sn),C158007
CN2,S4B-XH-A(LF)(SN),,s4b-xh-a(lf)(sn),C157925
CN3,DG381-3.5-02P-14-00A(H),,dg381-3.5-02p-14-00a(h),C5272864
CN5,DG381-3.5-02P-14-00A(H),,dg381-3.5-02p-14-00a(h),C5272864
CN6,DG381-3.5-02P-14-00A(H),,dg381-3.5-02p-14-00a(h),C5272864
D1,SS14,,ss14_c2480,C2480
D3,SMBJ12A,,smbj12a_c908793,C908793
D4,SS14,,ss14_c2480,C2480
D5,USBLC6-2SC6,,usblc6-2sc6_c7519,C7519
EMERGENCY,TS-1187A-B-A-B,,ts-1187a-b-a-b,C318884
EN,TS-1088-AR02016,,ts-1088-ar02016,C720477
G,,,led_th-r_5mm,
H1,,,hdr-f_2.54_1x4p,
H2,,,hdr-m_2.54_1x2p,
Q1,AO3400A,,ao3400a_c20917,C20917
Q2,AO3400A,,ao3400a_c20917,C20917
Q3,AO3400A,,ao3400a_c20917,C20917
Q4,AO3401A,,ao3401a_c15127,C15127
R,,,led_th-r_5mm,
R1,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R2,0402WGF5101TCE,5.1kΩ,0402wgf5101tce,C25905
R3,0402WGF5101TCE,5.1kΩ,0402wgf5101tce,C25905
R5,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R6,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R8,FRP1206F51R0TS,51Ω,frp1206f51r0ts,C7468320
R9,FRC1210F1500TS,150Ω,frc1210f1500ts,C2933805
R10,RT0603BRD07348KL,348kΩ,rt0603brd07348kl,C861336
R11,RT0603BRD0712KL,12kΩ,rt0603brd0712kl,C326735
R12,RC0603FR-07430RL,430Ω,rc0603fr-07430rl,C137721
R13,0603WAF4700T5E,470Ω,0603waf4700t5e,C23179
R14,0603WAF5100T5E,510Ω,0603waf5100t5e,C23193
R16,0603WAF1000T5E,100Ω,0603waf1000t5e,C22775
R17,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R19,0603WAF1000T5E,100Ω,0603waf1000t5e,C22775
R20,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R21,0603WAF1200T5E,120Ω,0603waf1200t5e,C22787
R26,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R28,0603WAF1002T5E,10kΩ,0603waf1002t5e,C25804
R29,0603WAF1000T5E,100Ω,0603waf1000t5e,C22775
R30,0603WAF220JT5E,22Ω,0603waf220jt5e,C23345
R31,0603WAF220JT5E,22Ω,0603waf220jt5e,C23345
SB1,0603WAF0000T5E,Jumper,jumper solder bridge copy copy,C21189
SETTING,TS-1187A-B-A-B,,ts-1187a-b-a-b,C318884
START,TS-1187A-B-A-B,,ts-1187a-b-a-b,C318884
STOP,TS-1187A-B-A-B,,ts-1187a-b-a-b,C318884
U1,ESP32-S3-WROOM-1-N16R8,,esp32-s3-wroom-1-n16r8,C2913202
U5,ADS1115IDGSR,,ads1115idgsr,C37593
U6,AMS1117-3.3,,ams1117-3.3_c6186,C6186
U8,LMZM23601V5SILR,,lmzm23601v5silr,C2868357
U10,DG301-5.0-02P-14-00A(H),,dg301-5.0-02p-14-00a(h),C5128812
U12,TJA1051T/3/1J,,tja1051t/3/1j,C38695
USB1,TYPE-C16PIN,,type-c16pin,C393939
Y,,,led_th-r_5mm,
